country,x,y
Algeria,-93.0,173.0
Angola,6.0,-83.0
Benin,-90.0,56.0
Botswana,41.0,-146.0
Burkina Faso,-114.0,69.0
Burundi,82.0,-28.0
Cameroon,-28.0,24.0
Cape Verde,-233.0,84.0
Central African Republic,20.0,35.0
Chad,9.0,84.0
Comoros,161.0,-82.0
Congo,-8.0,-14.0
DR Congo,38.0,-20.0
Djibouti,161.0,67.0
Egypt,76.0,163.0
Equatorial Guinea,-41.0,-0.0
Eritrea,139.0,102.0
Ethiopia,133.0,55.0
Gabon,-32.0,-10.0
Gambia,-202.0,72.0
Ghana,-111.0,41.0
Guinea,-176.0,59.0
Guinea-Bissau,-198.0,63.0
Ivory Coast,-139.0,39.0
Kenya,126.0,-1.0
Lesotho,70.0,-197.0
Liberia,-167.0,30.0
Libya,-2.0,166.0
Madagascar,182.0,-132.0
Malawi,106.0,-90.0
Mali,-120.0,106.0
Mauritania,-174.0,116.0
Mauritius,223.0,-143.0
Morocco,-153.0,199.0
Mozambique,132.0,-93.0
Namibia,-1.0,-147.0
Niger,-49.0,103.0
Nigeria,-60.0,52.0
Rwanda,82.0,-20.0
Sao Tome and Principe,-58.0,3.0
Senegal,-199.0,84.0
Seychelles,233.0,-22.0
Sierra Leone,-179.0,43.0
Somalia,191.0,52.0
South Africa,47.0,-204.0
South Sudan,73.0,46.0
Sudan,72.0,105.0
Eswatini,95.0,-182.0
Tanzania,113.0,-44.0
Togo,-97.0,42.0
Tunisia,-47.0,223.0
Uganda,96.0,6.0
Zambia,54.0,-99.0
Zimbabwe,76.0,-127.0
